"movieid","titre","summary","certificat","duration","poster","directors","writers","stars"
3682,Magnum Force,"Inspector ""Dirty"" Harry Callahan pursues a conspiracy of vigilante cops, who are not above going beyond the law to kill San Francisco's undesirables.","12","2h 4m",https://m.media-amazon.com/images/M/MV5BYTA0MDEzZjktMGQ1OS00ZGIyLTg4OWUtNTMxZGRhNDM3NWM3XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_FMjpg_UY720_.jpg,Ted Post,Harry Julian Fink|Rita M. Fink|John Milius,Clint Eastwood|Hal Holbrook|Mitchell Ryan
5435,Hombre,"John Russell, disdained by his ""respectable"" fellow stagecoach passengers because he was raised by Native Americans, becomes their only hope for survival when they are set upon by outlaws.",Tous publics,"1h 51m",https://m.media-amazon.com/images/M/MV5BZTk1YjVlNzAtNTA2NC00YTM1LThjMzAtZDhhZWQ5NDM1NTVlXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_FMjpg_UX928_.jpg,Martin Ritt,Irving Ravetch|Harriet Frank Jr.|Elmore Leonard,Paul Newman|Fredric March|Richard Boone
72104,Balance,A group of fishermen on a precariously balanced platform fight over a trunk.,"1989","7m",https://m.media-amazon.com/images/M/MV5BY2Y1MjAyOGQtZmEyYi00MDhkLTk4MTQtNTcyNGFhZmY3MjdjXkEyXkFqcGdeQXVyODc4NTA3MzE@._V1_FMjpg_UX1280_.jpg,Christoph Lauenstein|Wolfgang Lauenstein,Christoph Lauenstein|Wolfgang Lauenstein,""
1601,Les seigneurs de Harlem,Black gangsters in 1930 Harlem fights Dutch Schultz who is trying to horn in on their numbers racket.,Tous publics,"2h 10m",https://m.media-amazon.com/images/M/MV5BOTQ5NDMyM2QtZDBlZi00MzI3LTg1M2MtNjRjODdjYTRkMjYzXkEyXkFqcGdeQXVyNjYyMjExMTg@._V1_FMjpg_UX504_.jpg,Bill Duke,Chris Brancato,Laurence Fishburne|Tim Roth|Vanessa Williams
2926,Hairspray,A 'pleasantly plump' teenager teaches 1962 Baltimore a thing or two about integration after landing a spot on a local TV dance show.,Tous publics,"1h 32m",https://m.media-amazon.com/images/M/MV5BODczY2QzMzEtNDRiMC00YzllLTg5NGQtYTkzMzcwY2ZkYWUxXkEyXkFqcGdeQXVyNzEyNjUwMTA@._V1_FMjpg_UY720_.jpg,John Waters,John Waters,Sonny Bono|Ruth Brown|Divine
185435,"Game Over, Man!",Three friends are on the verge of getting their video game financed when their benefactor is taken hostage by terrorists.,TV-MA,"1h 41m",https://m.media-amazon.com/images/M/MV5BODI4MTc2NDU5OV5BMl5BanBnXkFtZTgwNTAzMzA1NDM@._V1_FMjpg_UX1280_.jpg,Kyle Newacheck,Anders Holm|Kyle Newacheck|Adam Devine,Adam Devine|Anders Holm|Blake Anderson
182727,A Christmas Story Live!,"A live broadcast of the Broadway hit ""A Christmas Story: The Musical"" in which Ralphie wishes for nothing more than a Red Ryder BB Gun for Christmas.",TV-PG,"2h 13m",https://m.media-amazon.com/images/M/MV5BODBmMjA0MDItMWE5OC00ZTJiLWFiY2MtZWFkODYxM2RjZWE2XkEyXkFqcGdeQXVyNDU4MDA0NTM@._V1_FMjpg_UX640_.jpg,Scott Ellis|Alex Rudzinski,Jean Shepherd|Leigh Brown|Bob Clark,Maya Rudolph|Chris Diamantopoulos|Ana Gasteyer
21,Get Shorty (Stars et truands),"A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.",Tous publics,"1h 45m",https://m.media-amazon.com/images/M/MV5BMjAwODYzNDY4Ml5BMl5BanBnXkFtZTcwODkwNTgzNA@@._V1_FMjpg_UX682_.jpg,Barry Sonnenfeld,Elmore Leonard|Scott Frank,Gene Hackman|Rene Russo|Danny DeVito
55272,La nuit nous appartient,A New York City nightclub manager tries to save his brother and father from Russian Mafia hitmen.,Tous publics,"1h 57m",https://m.media-amazon.com/images/M/MV5BMzcwZjFjMzMtNmZlMy00OWIzLThjYzctNDhmYTY4ZGZhMjZhXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_FMjpg_UX600_.jpg,James Gray,James Gray,Joaquin Phoenix|Mark Wahlberg|Eva Mendes
168252,Logan,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.","12 avec avertissement","2h 17m",https://m.media-amazon.com/images/M/MV5BYzc5MTU4N2EtYTkyMi00NjdhLTg3NWEtMTY4OTEyMzJhZTAzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_FMjpg_UX520_.jpg,James Mangold,James Mangold|Scott Frank|Michael Green,Hugh Jackman|Patrick Stewart|Dafne Keen
4445,T-Rex 3D,"A youth who finds a dinosaur egg accidentally breaks it. Soon after, she begins to have surreal visions of dinosaurs, including the Tyrannosaurus Rex.","1998","45m",https://m.media-amazon.com/images/M/MV5BMjA4Nzg5NTMyNF5BMl5BanBnXkFtZTcwMDIyMTgxMQ@@._V1_FMjpg_UX353_.jpg,Brett Leonard,Andrew Gellis|David Young|Jeanne Rosenberg,Peter Horton|Liz Stauber|Kari Coleman
5382,"Doux, dur et dingue",The San Fernando Valley adventures of trucker turned prize-fighter Philo Beddoe and his pet orangutan Clyde.,PG,"1h 54m",https://m.media-amazon.com/images/M/MV5BNzkzYjQxMmQtMjY5My00MWM5LWFmYzMtZWM5OWIwNTMxNmNjXkEyXkFqcGdeQXVyNjkwOTQ4MDE@._V1_FMjpg_UX800_.jpg,James Fargo,Jeremy Joe Kronsberg,Clint Eastwood|Sondra Locke|Geoffrey Lewis
111921,Nos étoiles contraires,"Hazel and Gus are teenagers who meet at a cancer support group and fall in love. They both share the same acerbic wit and a love of books, especially ""An Imperial Affliction"", so they embark on a journey to visit an author in Amsterdam.",Tous publics,"2h 6m",https://m.media-amazon.com/images/M/MV5BNzA4ODVkZmEtNmEzMi00ZDg4LTliMjUtNWI2ZDExNmVjYWE0XkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_FMjpg_UX768_.jpg,Josh Boone,Scott Neustadter|Michael H. Weber|John Green,Shailene Woodley|Ansel Elgort|Nat Wolff
81512,Au-delà,"An American construction worker, a French journalist and a London school boy set out on a spiritual journey after death touches their lives in different ways.",Tous publics,"2h 9m",https://m.media-amazon.com/images/M/MV5BMTAyNzAyMzgzMzZeQTJeQWpwZ15BbWU4MDQxMTM3MDMx._V1_FMjpg_UX343_.jpg,Clint Eastwood,Peter Morgan,Matt Damon|Cécile de France|Bryce Dallas Howard
1678,Le club de la chance,The life histories of four East Asian women and their daughters reflect and guide each other.,R,"2h 19m",https://m.media-amazon.com/images/M/MV5BOWRhMjA5OWYtMTY0Yy00MWVmLTljNTAtZTVkY2QxNmE2MmJhXkEyXkFqcGdeQXVyMjQ1ODk4Mw@@._V1_FMjpg_UX1280_.jpg,Wayne Wang,Amy Tan|Ron Bass,Tamlyn Tomita|Rosalind Chao|Kieu Chinh
189,Reckless,"On Christmas Eve, a regretful husband admits to his high-spirited wife that he has hired a contract killer to take her out. She immediately flees. A nice couple offers her shelter, but everyone have dark secrets in this wacky movie.",PG-13,"1h 31m",https://m.media-amazon.com/images/M/MV5BYmY2Mzc1ZTEtNmMxZi00YzY4LWI4ZDUtYWEyZWViZjViNDk1XkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_FMjpg_UX674_.jpg,Norman René,Craig Lucas,Mia Farrow|Tony Goldwyn|Juana Barrios
1033,Rox et Rouky,"A fox named Tod and a hound named Copper vow to be best friends forever. But as Copper grows into a hunting dog, their unlikely friendship faces the ultimate test.",Tous publics,"1h 23m",https://m.media-amazon.com/images/M/MV5BNzkzOGU5YTMtMzIyMC00YjNjLTliN2MtZDEyMTdjMDc3MmUyXkEyXkFqcGdeQXVyMjc1NDA2OA@@._V1_FMjpg_UX1247_.jpg,Ted Berman|Richard Rich|Art Stevens,Daniel P. Mannix|Larry Clemmons|Ted Berman,Mickey Rooney|Kurt Russell|Pearl Bailey
68536,Stanley Kubrick: Une vie en images,"The career and life of Stanley Kubrick is explored through pictures, clips from his films, his old home movies, comments from his colleagues and a narration by Tom Cruise.",Not Rated,"2h 22m",https://m.media-amazon.com/images/M/MV5BMWFlZjI1YzMtNTMwNC00NTg1LTg1ZWQtMGZiMDEwNDFkNzViXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_FMjpg_UX1280_.jpg,Jan Harlan,"",Katharina Kubrick|Malcolm McDowell|Stanley Kubrick
44773,Les morts haïssent les vivants,"When a renegade band of young filmmakers break into an abandoned hospital to make their horror epic, they stumble upon a real dead body and decide to use it in their movie. They accidentally bring it back to life, open a portal to a dead world that releases dozens of other zombie...",R,"1h 30m",https://m.media-amazon.com/images/M/MV5BMDhkZmYwMjYtMDc3MS00ZTZmLWEyNzUtZjEzODA2NGNjYTlhXkEyXkFqcGdeQXVyMTk5MjAyMjM@._V1_FMjpg_UX1200_.jpg,Dave Parker,Dave Parker|Paul Salamoff,Eric Clawson|Jamie Donahue|Brett Beardslee
107141,Dans l'ombre de Mary : La Promesse de Walt Disney,"Author P.L. Travers reflects on her childhood after reluctantly meeting with Walt Disney, who seeks to adapt her Mary Poppins books for the big screen.",Tous publics,"2h 5m",https://m.media-amazon.com/images/M/MV5BODNhYmJjMmYtMDEwMi00ZDQyLThhYzQtMWE4MDE1NzIwMWM2XkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_FMjpg_UX1200_.jpg,John Lee Hancock,Kelly Marcel|Sue Smith,Emma Thompson|Tom Hanks|Annie Rose Buckley
4429,Moby Dick,"The sole survivor of a lost whaling ship relates the tale of his captain's self-destructive obsession to hunt the white whale, Moby Dick.",Tous publics,"1h 56m",https://m.media-amazon.com/images/M/MV5BZjM0NDhhMmYtMzA1Mi00MGM2LWI3NjYtNGI2ODBmZTQzYTJiXkEyXkFqcGdeQXVyMTIzMzQ1ODg4._V1_FMjpg_UX1200_.jpg,John Huston,Ray Bradbury|John Huston|Norman Corwin,Gregory Peck|Richard Basehart|Leo Genn
8275,Sportif par amour,"Ronald's high-school valedictory address praises books and condemns sports. His girlfriend Mary condemns his attitude. Fearing to lose her to rival Jeff, he decides to go to college and pay more attentions to sports.",Tous publics,"1h 6m",https://m.media-amazon.com/images/M/MV5BZWM2MTg3NjktNjRlNy00NzE0LWIzZTQtMmFiYjhlYjQ1ODlmXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_FMjpg_UX374_.jpg,James W. Horne|Buster Keaton,Carl Harbaugh|Bryan Foy,Buster Keaton|Anne Cornwall|Flora Bramley
90890,Jack et Julie,"Family guy, Jack Sadelstein, prepares for the annual event he always dreads--the Thanksgiving visit of his fraternal twin sister, the needy, and passive-aggressive Jill, who then refuses to leave.",Tous publics,"1h 31m",https://m.media-amazon.com/images/M/MV5BZTdmMDIyMjctZDY1MC00ZjRmLWJjOGItOTU5NGZlYmY0NTUyXkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_FMjpg_UX600_.jpg,Dennis Dugan,Ben Zook|Steve Koren|Adam Sandler,Adam Sandler|Katie Holmes|Al Pacino
3789,Le prêteur sur gages,"A Jewish pawnbroker, victim of Nazi persecution, loses all faith in his fellow man until he realizes too late the tragedy of his actions.",Approved,"1h 56m",https://m.media-amazon.com/images/M/MV5BZTYzMGZjZTQtYThmOC00M2NjLWJhNmItZjdiYWU1Zjc3NzVhXkEyXkFqcGdeQXVyNzc5NjM0NA@@._V1_FMjpg_UX886_.jpg,Sidney Lumet,Morton S. Fine|David Friedkin|Edward Lewis Wallant,Rod Steiger|Geraldine Fitzgerald|Brock Peters
8261,Trois femmes,"Two roommates/physical therapists, one a vain woman and the other an awkward teenager, share an increasingly bizarre relationship.",Tous publics,"2h 4m",https://m.media-amazon.com/images/M/MV5BYzBkZWM1MmYtMmMwMS00NzdlLTllNmItN2FlNDcyMTU0NGY4XkEyXkFqcGdeQXVyNTI2ODA2NTc@._V1_FMjpg_UY720_.jpg,Robert Altman,Robert Altman|Patricia Resnick,Shelley Duvall|Sissy Spacek|Janice Rule
2427,La Ligne rouge,"Adaptation of James Jones' autobiographical 1962 novel, focusing on the conflict at Guadalcanal during the second World War.",Tous publics,"2h 50m",https://m.media-amazon.com/images/M/MV5BMzBmNmY5ODctMTMwMC00MDNjLWJkYWMtNWNhZDkyOTEwMDMxXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_FMjpg_UX1200_.jpg,Terrence Malick,James Jones|Terrence Malick,Jim Caviezel|Sean Penn|Nick Nolte
32234,Julia,"At the behest of an old and dear friend, playwright Lillian Hellman undertakes a dangerous mission to smuggle funds into Nazi Germany.",Tous publics,"1h 57m",https://m.media-amazon.com/images/M/MV5BNWRjYWJkMjAtOWI3OC00YWYzLThjZWMtNTIxZjEwOGFjMGZmXkEyXkFqcGdeQXVyNzEyNjUwMTA@._V1_FMjpg_UY720_.jpg,Fred Zinnemann,Lillian Hellman|Alvin Sargent,Jane Fonda|Vanessa Redgrave|Jason Robards
292,Alerte !,Army doctors struggle to find a cure for a deadly virus spreading throughout a California town that was brought to America by an African monkey.,Tous publics,"2h 7m",https://m.media-amazon.com/images/M/MV5BMTljNzIzZjYtOTNjNy00YjBkLWE2MDktYTUyN2FmZGZmMzUwXkEyXkFqcGdeQXVyMTEzMjQ4NzEw._V1_FMjpg_UX336_.jpg,Wolfgang Petersen,Laurence Dworet|Robert Roy Pool,Dustin Hoffman|Rene Russo|Morgan Freeman
2147,Le clan de la caverne des ours,A young Cro-Magnon woman is raised by Neanderthals.,R,"1h 38m",https://m.media-amazon.com/images/M/MV5BYzM4NjIzNGUtZWUwNC00MTc1LWFkN2EtZDA5YTljNzNiZWIyXkEyXkFqcGdeQXVyNzA4ODc3ODU@._V1_FMjpg_UX808_.jpg,Michael Chapman,Jean M. Auel|John Sayles|Clair Noto,Daryl Hannah|Pamela Reed|James Remar
2188,Studio 54,The famous 1970s New York City nightclub seen and told through the eyes of a young employee.,"12","1h 33m",https://m.media-amazon.com/images/M/MV5BNThlNzliMDItZDlhZC00OWZkLWI3OTUtYTFjZTY0OTJhZDljXkEyXkFqcGdeQXVyNTQxOTk3MzA@._V1_FMjpg_UY720_.jpg,Mark Christopher,Mark Christopher,Ryan Phillippe|Salma Hayek|Neve Campbell
69640,Public Enemies,"The Feds try to take down notorious American gangsters John Dillinger, Baby Face Nelson, and Pretty Boy Floyd during a booming crime wave in the 1930s.",Tous publics,"2h 20m",https://m.media-amazon.com/images/M/MV5BYmQ1MjczYTAtN2RkOC00ZTU5LWFjZDEtNTlkMTlhNTI3OWE3XkEyXkFqcGdeQXVyMzExODEzNDA@._V1_FMjpg_UY720_.jpg,Michael Mann,Ronan Bennett|Michael Mann|Ann Biderman,Christian Bale|Johnny Depp|Christian Stolte
1619,Sept ans au Tibet,"Heinrich Harrer, an Austrian climber, breaks out of prison and travels to the holy city of Lhasa. He is employed as an instructor to the 14th Dalai Lama and soon becomes his close confidante.",Tous publics,"2h 16m",https://m.media-amazon.com/images/M/MV5BZjAwNjI3ZTctODE5Yy00MzFkLTg1ZmQtNWRkNzkwOWFiMTVlXkEyXkFqcGdeQXVyMjExMzI0OTg@._V1_FMjpg_UX600_.jpg,Jean-Jacques Annaud,Heinrich Harrer|Becky Johnston,Brad Pitt|David Thewlis|BD Wong
26085,Les Révoltés du Bounty,"In 1787, British ship Bounty leaves Portsmouth to bring a cargo of bread-fruit from Tahiti but the savage on-board conditions imposed by Captain Bligh trigger a mutiny led by officer Fletcher Christian.",Tous publics,"2h 58m",https://m.media-amazon.com/images/M/MV5BMWRhZjZhMzYtZWM1Ni00NzVmLThkMTYtNWIyOTQ4ZGU2NGY5L2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_FMjpg_UY720_.jpg,Lewis Milestone|Carol Reed|George Seaton,Charles Lederer|Charles Nordhoff|James Norman Hall,Marlon Brando|Trevor Howard|Richard Harris
71494,The Haunted World of El Superbeasto,"A washed-up luchador and a super-spy investigate Nazi zombies, a nefarious scientist, and a stripper with a Satanic birthmark.",R,"1h 17m",https://m.media-amazon.com/images/M/MV5BOTY4MTNhMzktNjIzMi00ZDJmLWFhNjUtZjE4YjVjYjA4YmZmXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_FMjpg_UX1280_.jpg,Rob Zombie,Rob Zombie|Tom Papa|Joe Ekers,Joe Alaskey|Ken Foree|Sheri Moon Zombie
1399,Simples secrets,"After seventeen years, a fiercely independent woman and her rebellious son return home and together they turn the family she left behind upside down.",Tous publics,"1h 38m",https://m.media-amazon.com/images/M/MV5BNGM3ZDk0NzItYzY1Ni00NGQ5LWIzNDUtOTk2ODdiZjk5MjgwXkEyXkFqcGdeQXVyMTAxODYyODI@._V1_FMjpg_UX1115_.jpg,Jerry Zaks,Scott McPherson,Meryl Streep|Leonardo DiCaprio|Diane Keaton
42738,Underworld 2 : Évolution,"Picking up directly from the previous movie, vampire warrior Selene and the half werewolf Michael hunt for clues to reveal the history of their races and the war between them.","12","1h 46m",https://m.media-amazon.com/images/M/MV5BMjEzNDY1OTQwOV5BMl5BanBnXkFtZTcwNjcxMTIzMw@@._V1_FMjpg_UY720_.jpg,Len Wiseman,Danny McBride|Len Wiseman|Kevin Grevioux,Kate Beckinsale|Scott Speedman|Bill Nighy
147410,A Perfect Day: un jour comme un autre,A group of aid workers work to resolve a crisis in an armed conflict zone.,Tous publics,"1h 46m",https://m.media-amazon.com/images/M/MV5BYzA3YzVmMWQtMmViZi00M2UyLWFjZDctYThkNzJlZTBhNDYxXkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_FMjpg_UY720_.jpg,Fernando León de Aranoa,Fernando León de Aranoa|Diego Farias|Paula Farias,Benicio Del Toro|Tim Robbins|Olga Kurylenko
3798,Apparences,The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.,"12","2h 10m",https://m.media-amazon.com/images/M/MV5BYzRmY2Q1MzEtYzdkNi00YTk2LWEwMTQtNGY3MTRmYWZlNWE0XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_FMjpg_UY720_.jpg,Robert Zemeckis,Clark Gregg|Sarah Kernochan,Harrison Ford|Michelle Pfeiffer|Katharine Towne
4089,American chicano,"When an L.A. born American citizen is mistaken for a Mexican illegal alien and deported to Mexico, he has to do everything he can to get across the border.",Tous publics,"1h 25m",https://m.media-amazon.com/images/M/MV5BMTc0Nzk0NTc4MV5BMl5BanBnXkFtZTcwMDEyNDQ5OA@@._V1_FMjpg_UX800_.jpg,Cheech Marin,Cheech Marin,Cheech Marin|Daniel Stern|Paul Rodriguez
2807,Universal Soldier: Le combat absolu,"The ""universal soldiers"" must fight the whole army, when the military's supercomputer S.E.T.H gets out of control.","12","1h 23m",https://m.media-amazon.com/images/M/MV5BNWI0NTc4YWYtZDYzYy00NGUyLWI0ODMtMGIxOWQxY2RlZDQ5XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_FMjpg_UY720_.jpg,Mic Rodgers,Richard Rothstein|Christopher Leitch|Dean Devlin,Jean-Claude Van Damme|Bill Goldberg|Heidi Schanz
5444,Lilo & Stitch,"A young and parentless girl adopts a 'dog' from the local pound, completely unaware that it's supposedly a dangerous scientific experiment that's taken refuge on Earth and is now hiding from its creator and those who see it as a menace.",Tous publics,"1h 25m",https://m.media-amazon.com/images/M/MV5BYmJjZTBkZjItOTA0My00OWRmLTg0ZTAtYzdmNzhlZGU0ZTA2XkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_FMjpg_UX363_.jpg,Dean DeBlois|Chris Sanders,Chris Sanders|Dean DeBlois,Daveigh Chase|Chris Sanders|Tia Carrere
98623,Le Gagnant,"Fresh from prison, five friends try to stay crime free but inadvertently find themselves caught in a Triad war.",PG-13,"1h 48m",https://m.media-amazon.com/images/M/MV5BZjMwMjQ4ZmItODE0NC00MGYyLTk3YWItNzZjYjUxMzU2YjliXkEyXkFqcGdeQXVyODU2MDg1NzU@._V1_FMjpg_UX510_.jpg,Sammo Kam-Bo Hung,Sammo Kam-Bo Hung|Barry Wong,Sammo Kam-Bo Hung|Jackie Chan|John Sham
39435,La légende de Zorro,"Despite trying to keep his swashbuckling to a minimum, a threat to California's pending statehood causes the adventure-loving Don Alejandro de la Vega and his wife, Elena, to take action.",Tous publics,"2h 9m",https://m.media-amazon.com/images/M/MV5BYTliNTU2YjUtYjY1ZC00OGYwLTg4YjktNTA4N2NjN2M0MzFkXkEyXkFqcGdeQXVyMTEwNDU1MzEy._V1_FMjpg_UY720_.jpg,Martin Campbell,Roberto Orci|Alex Kurtzman|Ted Elliott,Antonio Banderas|Catherine Zeta-Jones|Rufus Sewell
4735,Ghosts of Mars,"In 2176, a Martian police unit is sent to pick up a highly dangerous criminal at a remote mining post. Upon arrival, the cops find that the post has become a charnel house.","12","1h 38m",https://m.media-amazon.com/images/M/MV5BYzdiNGI2MDUtNjA0Ni00YjhlLWJiN2UtODBmMGU3YzRkOTNkXkEyXkFqcGdeQXVyNjkwOTQ4MDE@._V1_FMjpg_UY720_.jpg,John Carpenter,Larry Sulkis|John Carpenter,Natasha Henstridge|Ice Cube|Pam Grier
2053,"Chérie, j'ai agrandi le bébé","The Szalinski family is back, this time hilarious disaster strikes when an experiment causes their new toddler son to grow many stories tall.",Tous publics,"1h 29m",https://m.media-amazon.com/images/M/MV5BNjY1OGU3MzctNzViNS00OTViLThmOGYtODgxNzNmM2MwNjVjXkEyXkFqcGdeQXVyMTA0MDM3NDg4._V1_FMjpg_UX555_.jpg,Randal Kleiser,Stuart Gordon|Brian Yuzna|Ed Naha,Rick Moranis|Marcia Strassman|Robert Oliveri
810,Kazaam,"A troubled kid inadvertently releases a genie, who must grant him any three wishes he requests.",PG,"1h 33m",https://m.media-amazon.com/images/M/MV5BZDhlZGNhYTctYWIwZS00ZGJhLThjODItYzhmZTQ5ZmRhYTJhXkEyXkFqcGdeQXVyNTU5MzI1OTM@._V1_FMjpg_UX1280_.jpg,Paul Michael Glaser,Paul Michael Glaser|Christian Ford|Roger Soffer,Shaquille O'Neal|Francis Capra|Ally Walker
99130,Ice Cream Man,"Poor Gregory. After being released from the Wishing Well Sanatorium, all he wants to do is make the children happy. So Gregory reopens the old ice cream factory, and all the unappreciative brats are reprocessed into the flavor of the day.",R,"1h 26m",https://m.media-amazon.com/images/M/MV5BNzAxN2Q0MTUtNWI4Yi00YjRiLWI2NjAtMTg3NTdiYjQ2NGVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX960_.jpg,Norman Apstein,David Dobkin|Sven Davison,Clint Howard|Justin Isfeld|Anndi McAfee
2840,Stigmata,"When a young woman becomes afflicted by stigmata, a priest is sent to investigate her case, which may have severe ramifications for his faith and for the Catholic Church itself.","12","1h 43m",https://m.media-amazon.com/images/M/MV5BNDA4ZTZiZDktNWY1Ny00NWQzLTk5OGEtNDY3YWU4ZjIzMzYyXkEyXkFqcGdeQXVyOTUxMzY0Njg@._V1_FMjpg_UX1024_.jpg,Rupert Wainwright,Tom Lazarus|Rick Ramage,Patricia Arquette|Gabriel Byrne|Jonathan Pryce
1212,Le troisième homme,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",Tous publics,"1h 44m",https://m.media-amazon.com/images/M/MV5BYmQ2MDNkYzQtOWQyMS00NDI5LTk1NmMtNTA2Mjk1NzAzYmVhXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_FMjpg_UX800_.jpg,Carol Reed,Graham Greene|Orson Welles|Alexander Korda,Orson Welles|Joseph Cotten|Alida Valli
98083,Jackass 3.5,"Interviews with the Jackass cast and crew are interspersed with unused material of stunts, tricks, antics and pranks shot during the production of Jackass 3D.",Tous publics,"1h 25m",https://m.media-amazon.com/images/M/MV5BNDA4OGUwNjYtNDhmZi00MDA4LTk0YzgtZTJkOWM5Zjg5OWVlXkEyXkFqcGdeQXVyNTk2MDQ0MjA@._V1_FMjpg_UY720_.jpg,Jeff Tremaine,Jeff Tremaine|Johnny Knoxville|Bam Margera,Johnny Knoxville|Bam Margera|Steve-O
386,S.F.W,An alienated and misanthropic teenager gains sudden and unwanted celebrity status after he's taken hostage by terrorists where his indifference to their threats to kill him makes news headlines.,Tous publics,"1h 36m",https://m.media-amazon.com/images/M/MV5BNjg4ZGQzZGItMzlkMC00Y2ZmLWIzZDgtZWE5MTgxNWM4MmEwXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_FMjpg_UX1280_.jpg,Jefery Levy,Andrew Wellman|Danny Rubin|Jefery Levy,Stephen Dorff|Reese Witherspoon|Jake Busey
3182,Mr. Death - Grandeur et décadence de Fred A. Leuchter Jr.,A cinematic portrait of the life and career of the infamous American execution device designer and holocaust denier.,Tous publics,"1h 31m",https://m.media-amazon.com/images/M/MV5BYjNjNjdlZDUtZDkzYi00ZGZlLTlkYjctNmUxMzY1YjFkZmFjXkEyXkFqcGdeQXVyNTc4Njg5MjA@._V1_FMjpg_UX600_.jpg,Errol Morris,"",Fred A. Leuchter Jr.|Robert Jan Van Pelt|David Irving
134109,Den radio,"It's the day of radio in Russia. The radio station staff decides to invite famous bands, who will perform live. And something goes wrong!","2008","1h 40m",https://m.media-amazon.com/images/M/MV5BODMzMmVjMTMtYjc4MC00ZGNiLThkM2ItNjliOTA0ZGQ0MWRhXkEyXkFqcGdeQXVyMTE5MDA2NjA3._V1_FMjpg_UX630_.jpg,Dmitriy Dyachenko,Leonid Barats|Rostislav Khait|Sergey Petreykov,Diana Arbenina|Leonid Barats|Mikhail Beskorovayny
27685,American Girls 2,"When new students can't get onto their college cheerleading team, they form their own squad and prepare for a cheer off.",PG-13,"1h 30m",https://m.media-amazon.com/images/M/MV5BNTIwZDc2YWUtZmY1Mi00YmE4LThhNGItYmRjMDg1MjgwYThmXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_FMjpg_UX1200_.jpg,Damon Santostefano,Claudia Grazioso|Brian Gunn|Mark Gunn,Anne Judson-Yager|Bree Turner|Kevin Cooney
103245,National Lampoon's Adam & Eve,Adam and Eve start dating in college. Eve wants to remain a virgin until...? Neither Adam's nor Eve's roomies understand them.,R,"1h 31m",https://m.media-amazon.com/images/M/MV5BNzFmZmZhYTgtZGI3NC00ZjZkLTgwOWItN2RjZTRmYmJmNGJhXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_FMjpg_UX339_.jpg,Jeff Kanew,Justin Kanew,Cameron Douglas|Emmanuelle Chriqui|Chad Lindberg
26693,Ça,"In 1960, seven pre-teen outcasts fight an evil demon who poses as a child-killing clown. Thirty years later, they reunite to stop the demon once and for all when it returns to their hometown.",Accord parental,"1h 36m",https://m.media-amazon.com/images/M/MV5BYjg1YTRkNzQtODgyYi00MTQ5LThiMDYtNDJjMWRjNTdjZDZlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_FMjpg_UY720_.jpg,"","",Richard Thomas|Tim Reid|Annette O'Toole
434,Cliffhanger : Traque au sommet,A botched mid-air heist results in suitcases full of cash being searched for by various groups throughout the Rocky Mountains.,Tous publics,"1h 53m",https://m.media-amazon.com/images/M/MV5BMTI0MzUyNDM5Ml5BMl5BanBnXkFtZTYwNjQ5NjU5._V1_FMjpg_UX329_.jpg,Renny Harlin,John Long|Michael France|Sylvester Stallone,Sylvester Stallone|John Lithgow|Michael Rooker
